id,status,name,similar,simHouse,type,char,group,season,notesTop,notesHeart,notesBase,badge,desc
1,in_stock,Elysian,Goddess,Burberry,f,fresh,фужерный,,"Ваниль, Лаванда, Какао и Имбирь",Vanilla Caviar,Абсолют ванили,hit,"Burberry Goddess — это гимн современной женственности, рождённый в стенах легендарного британского дома. Выпущенный в 2023 году, он стал одним из самых громких дебютов сезона: парфюмер Дариус Рашид превратил лаванду — традиционно «мужскую» ноту — в нечто безгранично чувственное. Vanilla Caviar в сердце аромата придаёт ему кремовую, почти осязаемую текстуру, а финал из абсолюта ванили окутывает кожу тёплым, стойким шлейфом.

Этот аромат чаще ищут: Burberry Goddess, Бёрберри Годдесс, лавандовый ванильный женский парфюм, Burberry Goddess отзывы, женский парфюм лаванда ваниль 2023"
2,in_stock,Be Italian,Born in Roma V1,Valentino,f,floral,восточные цветочные,,"Мандарин, Бергамот, Гардения, Ваниль","Туберроза, Ваниль, Пачули","Пачули, Ваниль, Ветивер, Сандал",hit,"Valentino Born in Roma V1 — смелая интерпретация классического аромата, посвящённая вечному городу. Дом Valentino объединил контрасты: уличную энергию Рима и утончённость высокой моды. Аромат раскрывается через нарциссово-ирисовый аккорд, который постепенно переходит в тёплую, пудровую базу. Это не просто парфюм — это архитектурное путешествие по улицам, где история встречается с современностью.

Этот аромат чаще ищут: Valentino Born in Roma V1, Валентино Борн ин Рома, Born in Roma женский, парфюм Рим Валентино, valentino born in roma отзывы"
3,in_stock,Rebel Bloom,L'intertid,Givenchy,f,floral,восточные-цветочные,,Груша и Бергамот,"Тубероза, Цветок апельсина и Жасмин Самбак","Пачули, Ваниль, Ambroxan и Ветивер",hit,"Givenchy L'Interdit — история запретного соблазна. Этот аромат впервые создавался для Одри Хепбёрн, и дух иконы до сих пор живёт в каждом флаконе. Современная версия сочетает пудровую тубероузу с дымным пачули и смолистым амброксаном — это контраст невинности и провокации, дня и ночи. Аромат для той, кто умеет нарушать правила с изяществом.

Этот аромат чаще ищут: Givenchy L'Interdit, Живанши запретный, L Interdit женский парфюм, туберроза пачули женский, Живанши розовый флакон"
4,in_stock,Rouge bouqet,Rouge Trafalgar,Dior,f,sweet,шипровые фруктовые,,"Малина, Клубника, Вишня и Мандарин",Черная смородина и Грейпфрут,Мускус и Пачули,,"Dior Rouge Trafalgar — изысканный шипровый аромат, вдохновлённый лондонскими площадями и парижским шиком. Сочная малина и спелая вишня открывают аромат с ягодной элегантностью, которую подхватывает пикантная чёрная смородина. Пачули и мускус в основании придают глубину и стойкость. Аромат существует на грани двух столиц — строгий и игривый одновременно.

Этот аромат чаще ищут: Dior Rouge Trafalgar, Диор Руж Трафальгар, шипровый фруктовый женский Диор, Dior ягодный парфюм, Диор малина вишня"
5,in_stock,Reverie,Devotion,Dolce Gabanna,f,oriental,восточные гурманские,,Candied Lemon,"Панна-котта, Цветок апельсина и Ром",Ваниль,hit,"Dolce & Gabbana Devotion — признание в любви, запечатённое в хрустальном флаконе. Парфюм открывается нотой засахаренного лимона, словно кусочек итальянского лимончелло, а сердце из панна-котты и цветка апельсина переносит в лучший ресторан на берегу Амальфи. Ваниль в финале — тёплая и обволакивающая, как итальянское солнце. Это аромат для тех, кто влюблён в жизнь.

Этот аромат чаще ищут: Dolce Gabbana Devotion, Дольче Габбана Девоушн, гурманный женский парфюм DG, панна-котта ваниль лимон парфюм, dolce devotion отзывы"
6,in_stock,Skin nudes,For her Musc Nude,Narciso Rodriges,f,floral,цветочные мускусные,,"Белые цветы, Жасмин и Розовый перец","Мускус, Дамасская роза и Цветок апельсина","Бобы тонка, Пачули и Кедр",hit,"Narciso Rodriguez For Her Musc Nude — квинтэссенция мускусной философии Нарцисо Родригеса, рафинированной до предела. Созданный парфюмером Соней Константен, этот аромат превращает мускус в нечто интимное и осязаемое, словно тёплая кожа после душа. Розовый перец придаёт лёгкую пряность открытию, дамасская роза делает сердце женственным, а тонка и пачули создают загадочный, долгий шлейф. Аромат-вторая кожа.

Этот аромат чаще ищут: Narciso Rodriguez For Her Musc Nude, Нарцисо Родригес мускус нюд, мускусный парфюм женский, narciso rodriguez for her nude отзывы, нарцисо мускус розовый"
7,in_stock,Havana Suede,Tobacco Vanille,Tom Ford,uni,oriental,восточные пряные,,Лист табака и Пряности,"Ваниль, Какао, Бобы тонка и Цветок табака",Сухофрукты и Древесные ноты,,"Tom Ford Tobacco Vanille — роскошный манифест декаданса. С момента запуска в 2007 году этот аромат стал иконой для ценителей tabac-oriental: табачный лист, соединённый с ванилью, какао и тонкой, создаёт головокружительный, почти ликёрный шлейф. Говорят, он напоминает воздух кубинской сигарной лавки в Гаване — пряный, тёплый, немного запретный. Один из самых тиражируемых, но так и непревзойдённых.

Этот аромат чаще ищут: Tom Ford Tobacco Vanille, Том Форд табак ваниль, табачный ванильный парфюм, TF Tobacco Vanille унисекс, том форд тобакко"
8,in_stock,Oak Wood,Oud Wood,Tom Ford,uni,woody,восточные древесные,,"Уд, розовое дерево, кардамон, сандалд, сычуанький перец, ваниль, ветивер, бобы тонка, амбра",,,,"Tom Ford Oud Wood — пионер в мире удовых ароматов, выпущенный в 2007 году и мгновенно ставший эталоном жанра. Том Форд соединил редкий уд с розовым деревом и кардамоном, добавив мягкость сандала и сладость тонки. В отличие от большинства удовых парфюмов, Oud Wood звучит сдержанно и современно — как восточная роскошь в западном прочтении. Это универсальный аромат вне времени и сезона.

Этот аромат чаще ищут: Tom Ford Oud Wood, Том Форд Уд Вуд, удовый парфюм унисекс, TF oud wood отзывы, том форд древесный уд"
9,in_stock,Cherry Crush,Lost Cherry,Tom Ford,uni,floral,восточные цветочные,,"Горький миндаль, Черная вишня и Cherry Liqueur","Вишня, Слива, Турецкая роза и Жасмин Самбак","Ваниль, Бобы тонка, Корица, Перуанский бальзам, Сандал, Бензоин, Гвоздика (пряность), Кедр, Пачули и Ветивер",hit,"Tom Ford Lost Cherry — соблазн в стекле. Этот аромат 2018 года — игра контрастов: горький миндаль и вишнёвый ликёр создают мгновенно узнаваемое открытие в духе черешневого марципана. Турецкая роза и жасмин самбак добавляют цветочную глубину, а шлейф из ванили, тонки и сандала делает его по-настоящему долгим и чувственным. Аромат для тех, кто любит ночные истории.

Этот аромат чаще ищут: Tom Ford Lost Cherry, Том Форд потерянная вишня, вишнёвый парфюм TF, Lost Cherry отзывы, том форд вишня ваниль"
10,in_stock,Peach Skin,Bitter Peach,Tom Ford,uni,oriental,восточные гурманские,,"Персик, Красный апельсин, Кардамон и Гелиотроп","Ром, Коньяк, Давана и Жасмин","Ваниль, Пачули из Индонезии, Бобы тонка, Сандал, Бензоин, Кашмеран, Стиракс, Лабданум и Ветивер",,"Tom Ford Bitter Peach — гедонистический гурман, вышедший в 2020 году. Это не просто парфюм с персиком — это коктейль: красный апельсин и кардамон открывают его с игривой резкостью, ром и коньяк в сердце добавляют алкогольную объёмность, а финал из ванили, тонки и сандала — тягучий и роскошный. Bitter Peach пьянит, провоцирует и долго не отпускает.

Этот аромат чаще ищут: Tom Ford Bitter Peach, Том Форд горький персик, персиковый ром парфюм TF, tom ford bitter peach отзывы, гурманный унисекс том форд"
